Extension,Description,Install
Azure Resources,An extension for viewing and managing Azure resources.,https://ms-azuretools.gallery.vsassets.io/_apis/public/gallery/publisher/ms-azuretools/extension/vscode-azureresourcegroups/0.9.9/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Azure Static Web Apps,An Azure Static Web Apps extension for Visual Studio Code.,https://ms-azuretools.gallery.vsassets.io/_apis/public/gallery/publisher/ms-azuretools/extension/vscode-azurestaticwebapps/0.12.2/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Azure Storage,"Manage your Azure Storage accounts including Blob Containers, File Shares, Tables and Queues",https://ms-azuretools.gallery.vsassets.io/_apis/public/gallery/publisher/ms-azuretools/extension/vscode-azurestorage/0.16.1/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Azure Terraform,VS Code extension for developing with Terraform on Azure,https://ms-azuretools.gallery.vsassets.io/_apis/public/gallery/publisher/ms-azuretools/extension/vscode-azureterraform/0.3.2/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Azure Virtual Machines,An Azure Virtual Machines extension for Visual Studio Code.,https://ms-azuretools.gallery.vsassets.io/_apis/public/gallery/publisher/ms-azuretools/extension/vscode-azurevirtualmachines/0.6.6/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Azure Databases,"Create, browse, and update globally distributed, multi-model databases in Azure.",https://ms-azuretools.gallery.vsassets.io/_apis/public/gallery/publisher/ms-azuretools/extension/vscode-cosmosdb/0.24.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Docker,"Makes it easy to create, manage, and debug containerized applications.",https://ms-azuretools.gallery.vsassets.io/_apis/public/gallery/publisher/ms-azuretools/extension/vscode-docker/1.29.3/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
.NET Install Tool,This extension installs and manages different versions of the .NET SDK and Runtime.,https://ms-dotnettools.gallery.vsassets.io/_apis/public/gallery/publisher/ms-dotnettools/extension/vscode-dotnet-runtime/2.2.3/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Azure Kubernetes Service,Display Azure Kubernetes Services within VS Code,https://ms-kubernetes-tools.gallery.vsassets.io/_apis/public/gallery/publisher/ms-kubernetes-tools/extension/vscode-aks-tools/1.5.2/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Kubernetes,"Develop, deploy and debug Kubernetes applications",https://ms-kubernetes-tools.gallery.vsassets.io/_apis/public/gallery/publisher/ms-kubernetes-tools/extension/vscode-kubernetes-tools/1.3.18/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
